model_seed,reset_seed,time,segment_selected,reference_rectangle,current_x,current_y,old_x,old_y,new_x,new_y,xy_change
0,51000072,1,True,0,1.4978862,3.422122,2.3896508,3.7463963,2.4330826,3.6643598,0.09282404982329504
0,51000073,1,True,0,1.360144,3.6795945,2.2915854,3.6340754,2.338493,3.5919707,0.06303282015621739
0,51000076,2,True,0,1.5114149,3.5918846,2.4436162,3.5794277,2.4954915,3.5171912,0.08102123224991362
0,51000076,12,True,0,1.9957871,3.8152647,1.9351642,3.849168,1.9957871,3.8152647,0.06945917901769134
0,51000076,13,True,0,1.9351642,3.849168,2.9234107,3.8947728,2.92846,3.888788,0.007830219649986064
0,51000077,1,True,0,1.4860361,3.6595008,2.288374,3.418173,2.3291256,3.3678656,0.06474215388057655
0,51000078,1,True,0,1.3506784,3.5561326,2.1993477,3.6516466,2.2229106,3.5986526,0.05799634503705309
0,51000079,1,True,0,1.4377508,3.502304,2.3836856,3.6756003,2.4303818,3.612689,0.07834769903383923
0,51000080,1,True,0,1.5,3.5393562,2.416542,3.5254662,2.4656332,3.4628177,0.07959130025733012
0,51000081,1,False,2,1.3811822,3.521337,1.4778862,2.5214236,1.4778862,2.5214236,0.0
0,51000082,1,True,0,1.4967153,3.435354,2.4277904,3.3475475,2.45863,3.2842202,0.07043745074434064
0,51000083,1,True,0,1.4762871,3.6555169,2.415519,3.6821036,2.4740856,3.6260605,0.08106094988904469
0,51000084,1,True,0,1.4906054,3.5807672,2.2855468,3.6055017,2.3284144,3.5449862,0.0741603021123767
0,51000085,1,True,0,1.5,3.568979,2.4277782,3.6833074,2.4871302,3.6212857,0.08584489395021609
0,51000086,1,True,0,1.4087098,3.5141509,1.4976982,3.5925777,1.4390879,3.5109715,0.10047254991153537
0,51000086,2,True,0,1.4976982,3.5925777,1.5660409,3.6141193,1.5190426,3.5376384,0.08976725156463919
0,51000086,3,True,0,1.5660409,3.6141193,2.4851398,3.6015096,2.5325289,3.544258,0.074319910683372
0,51000087,1,True,0,1.4975157,3.5131786,2.4355562,3.5818934,2.4898283,3.5174017,0.08428911332960663
0,51000088,1,True,0,1.492582,3.4481618,2.2404895,3.676849,2.2702537,3.5994911,0.08288625075801756
0,51000090,1,True,0,1.408065,3.6981566,2.3570201,3.7108426,2.4080648,3.660285,0.07184451215173306
0,51000091,1,True,0,1.4269505,3.4914417,1.4910375,3.5623894,1.4322177,3.478885,0.10214086680186689
0,51000091,2,True,0,1.4910375,3.5623894,1.5308183,3.6528094,1.4737644,3.5659375,0.10393204836710025
0,51000091,3,True,0,1.5308183,3.6528094,2.150599,3.2696257,2.179947,3.2308595,0.04862214604831709
0,51000092,1,True,0,1.2881682,3.5598905,2.2486644,3.4487636,2.2835748,3.4143388,0.04902860852594827
0,51000093,1,True,0,1.4992839,3.6673145,2.2667108,3.4271328,2.3099258,3.3773203,0.06594565972982512
0,51000094,1,True,0,1.5,3.64596,2.4535003,3.9999998,2.5,3.9457037,0.07148623811872017
0,51000095,1,True,0,1.5,3.5721662,2.269261,3.9152634,2.2949898,3.8262963,0.09261274532151205
0,51000096,1,True,0,1.3387405,3.4804666,2.2090356,3.6015086,2.2330647,3.5502527,0.056608878822864354
0,51000097,1,True,0,1.496657,3.7419105,2.4234731,3.6043212,2.4766126,3.5457416,0.07909096185628962
0,51000098,1,True,0,1.4944046,3.3330677,2.4454322,3.6647258,2.4944046,3.5837567,0.09462709566213309
0,51000099,1,True,0,1.2986631,3.5740695,2.2697477,3.6983657,2.2986631,3.653463,0.053407511137510896
0,51000100,1,True,0,1.3584849,3.6693468,2.2990334,3.3426318,2.3277657,3.2991445,0.052121888096294484
0,51000101,1,True,0,1.3791841,3.575772,2.2746642,3.4632814,2.316414,3.419333,0.060617832276135576
0,51000102,1,True,0,1.5,3.5427935,2.4033291,3.5596848,2.4562716,3.4978738,0.08138492417692043
0,51000105,1,True,0,1.4980987,3.5489545,2.4204137,3.2882204,2.442049,3.236303,0.05624494192998112
0,51000106,1,True,0,1.3712201,3.2925978,2.3353148,3.6552098,2.3633003,3.5818334,0.0785321009589311
0,51000108,1,True,0,1.3422291,3.6775727,2.1917984,3.4944227,2.2306595,3.4591594,0.05247552253348011
0,51000109,1,True,0,1.4809239,3.5302925,2.0678487,3.7207274,2.073811,3.6395857,0.08136047581706765
0,51000110,1,True,0,1.3414805,3.452383,2.1936603,3.930956,2.1949122,3.8553135,0.07565270685254584
0,51000111,1,True,0,1.4858803,3.4653566,2.4109116,3.579476,2.4659312,3.5165317,0.0836011799849004
0,51000112,1,True,0,1.4476085,3.6471276,2.1996913,3.3362896,2.2347476,3.29329,0.05547905801716435
0,51000112,5,True,0,1.928011,3.898307,1.9476758,3.9999998,1.9379786,3.8871887,0.11322710527266724
0,51000112,6,True,0,1.9476758,3.9999998,2.7957008,3.685309,2.8401933,3.6155431,0.08274568732176465
0,51000113,1,True,0,1.4992478,3.473834,2.4192352,3.5364068,2.469961,3.4725394,0.08156060566908131
0,51000114,1,True,0,1.495465,3.4205792,2.445883,3.6899314,2.495465,3.6118572,0.09248761274086324
0,51000116,1,True,0,1.4964918,3.624724,2.2170322,3.822622,2.2411807,3.744196,0.08205976504772003
0,51000117,1,True,0,1.4909768,3.515799,2.418616,3.4629843,2.461511,3.400105,0.07611686213212639
0,51000118,1,True,0,1.4993036,3.5013583,2.4396,3.6012132,2.4952323,3.5369525,0.08499646446346337
0,51000119,1,True,0,1.4884641,3.6257455,2.4201634,3.5430508,2.4686685,3.4834929,0.07681072068525044
0,51000121,1,True,0,1.3796877,3.5256581,2.1156616,3.5011945,2.1387217,3.450879,0.05534803447431022
0,51000122,1,True,0,1.252249,3.5060992,2.0684376,3.7025218,2.0701623,3.6595526,0.04300382673746335
0,51000123,1,True,0,1.5,3.5706823,2.3869138,3.6032188,2.4423609,3.5455556,0.07999641225027314
0,51000125,1,True,0,1.4471748,3.328196,2.4088833,3.7300816,2.4471748,3.646691,0.0917616841649941
0,51000126,1,True,0,1.4097853,3.5622563,2.3639696,3.9999998,2.391853,3.9751382,0.0373575841942498
0,51000127,1,True,0,1.477889,3.5279858,2.1969838,3.5632508,2.2290459,3.5003319,0.07061701951414164
1,51000001,1,True,0,1.4922478,3.5469246,2.452631,3.4173112,2.40287,3.3522155,0.08193661046454626
1,51000002,1,True,0,1.5,3.3177257,2.392453,3.905667,2.3447268,3.826453,0.09248058619496352
1,51000004,1,True,0,1.3887426,3.5142405,1.3741902,3.5040526,1.384321,3.5023136,0.010278938097299151
1,51000004,2,True,0,1.3741902,3.5040526,2.3741903,3.7472794,2.3628273,3.689092,0.05928660742082954
1,51000005,1,True,0,1.4253387,3.3036375,2.282501,3.4240923,2.2431586,3.3674178,0.06899145917550617
1,51000006,1,True,0,1.4960277,3.5481286,2.4960277,3.5539184,2.4942033,3.4803042,0.07363672380789747
1,51000007,1,True,0,1.3378981,3.6376052,2.3378983,3.3481994,2.3314466,3.298723,0.04989524941181077
1,51000008,1,True,0,1.4975362,3.459451,2.4975362,3.6390164,2.4975362,3.5615547,0.07746171951293945
1,51000009,1,True,0,1.4908779,3.6245563,2.4908779,3.5764024,2.4810662,3.5048926,0.07217981172725102
1,51000012,1,True,0,1.3651854,3.4024377,2.3651853,3.6771007,2.3651853,3.6214042,0.05569648742675781
1,51000014,1,True,0,1.4193183,3.658402,2.4193182,3.7467678,2.4190903,3.6825821,0.06418602404834935
1,51000015,2,True,0,1.328393,3.4306173,2.115556,3.7173266,2.0873435,3.6706674,0.05452551402914013
1,51000016,1,True,0,1.2761211,3.3924062,2.2761211,3.4694896,2.274627,3.4302247,0.039293336306091844
1,51000017,1,True,0,1.4862045,3.729968,2.4862046,3.7659335,2.4862046,3.691259,0.07467460632324219
1,51000018,1,True,0,1.5,3.268782,2.5,3.68516,2.5,3.5997834,0.08537650108337402
1,51000019,1,True,0,1.493414,3.663273,2.493414,3.3985639,2.490509,3.3301268,0.06849872246547818
1,51000020,1,True,0,1.4911137,3.6326745,2.303806,3.6948235,2.2616966,3.6328123,0.0749573426993498
1,51000021,1,True,0,1.4732356,3.5958831,2.4732356,3.7692366,2.4595437,3.6961412,0.074366620419813
1,51000023,1,True,0,1.5,3.466958,2.4292388,3.9999998,2.3800526,3.965022,0.060354974152915665
1,51000024,1,True,0,1.479663,3.647093,2.479663,3.5945697,2.444863,3.5255435,0.07730231394868117
1,51000025,1,True,0,1.4166168,3.561865,2.2992187,3.680972,2.2602067,3.626431,0.06705718038803149
1,51000026,1,True,0,1.4995241,3.4280233,2.499524,3.5484812,2.4877596,3.4719236,0.077456282834343
1,51000027,1,True,0,1.5,3.4113913,2.5,3.8610346,2.5,3.7777295,0.08330512046813965
1,51000028,1,True,0,1.4930227,3.311807,2.4930227,3.831577,2.4930227,3.7460525,0.0855245590209961
1,51000029,1,True,0,1.4879528,3.7174783,2.4879527,3.4700174,2.4817939,3.4012833,0.069009543980413
1,51000030,1,True,0,1.4758924,3.7047825,2.30283,3.6638124,2.2607226,3.6046124,0.07264760235095116
1,51000030,10,True,0,1.7307484,3.8961656,1.7976335,3.9774382,1.7307484,3.8961656,0.10525613657114809
1,51000030,11,True,0,1.7976334,3.9774382,1.8432623,3.9999998,1.7976334,3.9774382,0.0509020681630715
1,51000030,12,False,0,1.8432623,3.9999998,2.8432622,3.6400676,2.8432622,3.6400676,0.0
1,51000031,1,True,0,1.4954646,3.60587,2.4954646,3.6169584,2.4713588,3.544303,0.07654999576286751
1,51000033,1,True,0,1.2876216,3.5034342,2.2116902,3.7202237,2.182644,3.6865277,0.04448711600307411
1,51000034,2,True,0,1.4054852,3.573577,2.4054852,3.8624837,2.4054852,3.7914476,0.07103610038757324
1,51000035,1,True,0,1.487822,3.6527958,2.487822,3.4888937,2.4759245,3.4188144,0.07108209372574054
1,51000036,1,True,0,1.49141,3.4425848,2.4420674,3.7061825,2.3924932,3.6332464,0.08818879518387347
1,51000037,1,True,0,1.4504344,3.6415207,2.2620094,3.7270362,2.2235203,3.6705692,0.06833695573015099
1,51000039,1,True,0,1.5,3.4526465,2.5,3.6636608,2.4698412,3.586989,0.08239005736652137
1,51000041,1,True,0,1.4971219,3.5622113,2.4190536,3.6904445,2.3704245,3.6204603,0.0852207250670831
1,51000042,1,True,0,1.4923345,3.6844308,1.9467341,3.641513,1.9227439,3.5985653,0.04919388557511093
1,51000042,2,True,0,1.9467341,3.641513,2.779794,3.8333986,2.6986325,3.7221117,0.1377387319133782
1,51000043,1,True,0,1.4901867,3.7297988,2.4901867,3.7756016,2.4460127,3.7027967,0.08515806419316535
1,51000044,1,True,0,1.4696428,3.5677226,2.4696426,3.6774566,2.4696426,3.605548,0.07190871238708496
1,51000045,1,True,0,1.4099452,3.4493368,2.4007773,3.558081,2.3562016,3.4990516,0.07396928630651085
1,51000047,1,True,0,1.288468,3.5467908,2.1680796,3.5773742,2.1398551,3.5449753,0.04296873123397831
1,51000049,2,False,2,1.621721,3.4375074,1.5402638,2.8374417,1.5402638,2.8374417,0.0
1,51000050,1,True,0,1.4196059,3.4945962,2.4196057,3.4554553,2.4021013,3.3937626,0.06412797317760187
1,51000053,1,True,0,1.5,3.5166495,2.5,3.8040233,2.5,3.7236652,0.08035802841186523
1,51000055,1,True,0,1.4819583,3.5831568,2.4245157,3.5835094,2.3759995,3.5168276,0.08246392846346115
1,51000056,1,True,0,1.4912045,3.533511,2.4912045,3.6761386,2.4879274,3.600611,0.0755987286780469
1,51000057,1,True,0,1.4440098,3.591284,2.2886033,3.8303382,2.2490842,3.7711174,0.07119592045130173
1,51000058,1,False,2,1.428678,3.3455966,1.4599402,2.5307295,1.4599402,2.5307295,0.0
1,51000059,1,True,0,1.4429373,3.493587,2.33004,3.6940057,2.2887158,3.6344054,0.07252507525606679
1,51000061,1,True,0,1.4269947,3.7320561,2.268174,3.6217995,2.2288141,3.5684893,0.06626588263967984
1,51000062,1,True,0,1.3554307,3.5097585,2.133998,3.7354493,2.1069474,3.696991,0.047018866068468536
1,51000062,3,True,0,1.5598452,3.49929,2.2884252,3.6797621,2.2399154,3.595628,0.09711720395959955
1,51000063,1,True,0,1.5,3.4515438,2.5,3.9176803,2.5,3.833924,0.0837562084197998
1,51000065,1,True,0,1.3170636,3.4760807,2.3170636,3.6729126,2.3170636,3.6271603,0.04575228691101074
1,51000066,1,True,0,1.489396,3.6906981,2.489396,3.55094,2.475103,3.48005,0.07231652903686714
1,51000067,1,True,0,1.4973601,3.5204077,2.4973602,3.5365527,2.4973602,3.4626503,0.07390236854553223
1,51000070,1,True,0,1.421817,3.5575578,2.4218168,3.4090853,2.4218168,3.3479562,0.061129093170166016
1,51000072,1,True,0,1.5,3.420138,2.4887943,3.7429018,2.4351377,3.6642745,0.09519079900169955
1,51000076,2,True,0,1.3684324,3.592459,2.3684325,3.5959723,2.3684325,3.5321662,0.06380605697631836
1,51000077,1,True,0,1.4673176,3.6646752,2.372485,3.440171,2.3274832,3.3820722,0.07348895716176364
1,51000078,1,True,0,1.3228853,3.5556471,2.2271101,3.6382282,2.19506,3.5986662,0.050915241516655635
1,51000079,1,True,0,1.4266509,3.5019236,2.426651,3.6783767,2.4192927,3.6127114,0.06607623757981458
1,51000080,1,True,0,1.4977572,3.5410614,2.4977572,3.5468678,2.4772713,3.473759,0.07592485851059536
1,51000081,1,False,2,1.3605924,3.5202916,1.4636017,2.5202916,1.4636017,2.5202916,0.0
1,51000082,1,True,0,1.5,3.4329507,2.5,3.3758347,2.4992955,3.302346,0.0734920893379198
1,51000083,1,True,0,1.4612358,3.6604242,2.4612358,3.6987512,2.4612358,3.628642,0.07010912895202637
1,51000084,1,True,0,1.4834563,3.5837703,2.3665354,3.6088123,2.3212738,3.5451217,0.07813523439193724
1,51000085,1,True,0,1.4970261,3.5712402,2.497026,3.6979995,2.4841588,3.621401,0.07767162241889372
1,51000086,1,True,0,1.3915185,3.5132153,1.4133767,3.5137787,1.4219526,3.5100973,0.009332695369404198
1,51000086,2,True,0,1.4133767,3.5137787,1.4286113,3.4639852,1.4357864,3.459397,0.008516618895067671
1,51000086,3,True,0,1.4286113,3.4639852,2.4286113,3.6160126,2.402357,3.5553973,0.06605676760336306
1,51000087,1,True,0,1.4917021,3.5134485,2.491702,3.5974195,2.4897249,3.522226,0.07521939589602558
1,51000088,1,True,0,1.493236,3.4464126,2.314623,3.6656134,2.2707238,3.5994244,0.079423792209805
1,51000090,1,True,0,1.3803946,3.7029932,2.3803945,3.7186878,2.3803945,3.6605408,0.05814695358276367
1,51000091,1,True,0,1.4141057,3.489967,1.4116668,3.4834497,1.4194313,3.4774742,0.00979770833409122
1,51000091,2,True,0,1.4116668,3.4834497,2.271487,3.6888292,2.2346768,3.635539,0.06476747388626283
1,51000093,1,True,0,1.4850372,3.6732993,2.3540938,3.448498,2.3090057,3.3894396,0.07430229065258859
1,51000094,1,True,0,1.493636,3.6507988,2.4936361,3.9999998,2.4936361,3.9461026,0.05389714241027832
1,51000095,1,True,0,1.4967421,3.5746431,2.3366568,3.8962417,2.2917657,3.8264415,0.08298958908374802
1,51000096,1,True,0,1.3153659,3.477493,2.2421112,3.5896518,2.209495,3.550207,0.05118314634749476
1,51000098,1,True,0,1.5,3.3278153,2.5,3.6657207,2.5,3.5835245,0.08219623565673828
1,51000099,1,True,0,1.261546,3.5739346,2.2615461,3.6893764,2.2615461,3.6534843,0.03589200973510742
1,51000100,1,True,0,1.3230027,3.673046,2.3230028,3.367295,2.3230028,3.3194153,0.047879695892333984
1,51000101,1,True,0,1.3528192,3.5766892,2.3347104,3.4722066,2.2941895,3.4232712,0.06353438864244668
1,51000102,1,True,0,1.4977576,3.5444984,2.4977574,3.5785227,2.4621272,3.5048788,0.08181039286468388
1,51000105,1,True,0,1.490487,3.5507436,2.490487,3.3282979,2.490487,3.25971,0.0685877799987793
1,51000109,1,True,0,1.4797678,3.5307782,2.1036527,3.6912992,2.0726967,3.639608,0.060251685725386195
1,51000110,1,True,0,1.3219371,3.4483755,2.2024374,3.8924935,2.1749756,3.855311,0.04622436730196567
1,51000111,1,True,0,1.4896212,3.4637852,2.4896212,3.5936275,2.4717355,3.518266,0.07745483806313125
1,51000112,1,True,0,1.4261508,3.6513808,2.26686,3.354409,2.2281327,3.3056793,0.06224453443256212
1,51000113,1,True,0,1.5,3.4731278,2.5,3.5516014,2.4772906,3.477746,0.07726794673155313
1,51000114,1,True,0,1.5,3.4181173,2.5,3.6925364,2.5,3.611745,0.08079123497009277
1,51000116,1,True,0,1.4849598,3.6295683,2.2689521,3.8054154,2.2294865,3.7444835,0.07259640332543763
1,51000117,1,True,0,1.4902266,3.516114,2.4902267,3.4882216,2.483752,3.4158006,0.07270993136280245
1,51000118,1,True,0,1.4995215,3.5012667,2.4995215,3.6171093,2.4995215,3.540473,0.07663631439208984
1,51000119,1,True,0,1.4762332,3.6297636,2.4762332,3.5685515,2.4749742,3.4987953,0.06976763169381738
1,51000121,1,True,0,1.3621128,3.5240934,2.1519065,3.4913208,2.1209738,3.450836,0.05094955650997518
1,51000123,1,True,0,1.4973952,3.5726628,2.4942172,3.6190267,2.4415762,3.5473962,0.08889314533886107
1,51000125,1,True,0,1.4515432,3.3214312,2.4515433,3.7212546,2.4515433,3.6464133,0.07484126091003418
1,51000126,1,True,0,1.3907367,3.5628335,2.3907366,3.9999998,2.372826,3.9753006,0.03050961064476053
1,51000127,1,True,0,1.4768642,3.5284162,2.2684777,3.5588763,2.2280426,3.5003488,0.07113691062721833
