model,group,rows,episodes,es,mean_xy_vector_rmse,illegal_sample_fraction,illegal_mean_fraction,atom_fraction,stationary_fraction,projection_fraction,mean_step_distance
A_s1,off__already_dead,1194,9,0.0755453185790125,0.2734369933605194,0.0,0.0,0.7746806951423786,0.8197628768844221,0.0,0.15541237592697144
A_s1,off__teacher_prefix,1791,12,0.537778563719674,0.7171284556388855,0.0,0.0,0.012048087660524846,0.013723129536571748,0.0,0.37713107466697693
A_s1,off__blind_prefix,1740,12,0.2397758234648874,0.5084395408630371,0.0,0.0,0.5321300287356322,0.5661548132183908,0.0,0.2320234626531601
B_s1,diagonal__all,1269,24,0.0385375019428074,0.17403358221054077,0.0,0.0,0.2817548266351458,0.29431392828999214,0.0,0.29588305950164795
B_s1,diagonal__alive_outside_goal,168,24,0.02992476531952965,0.09950009733438492,0.0,0.0,0.03617931547619048,0.0390625,0.0,0.7464151978492737
B_s1,diagonal__ordinary_motion,799,24,0.015208788648934051,0.054616473615169525,0.0,0.0,0.008330725907384231,0.01149874843554443,0.0,0.371654212474823
B_s1,diagonal__fatal_onset,0,,,,,,,,,
B_s1,diagonal__already_dead,470,9,0.0781963145423921,0.27695801854133606,0.0,0.0,0.7465757978723404,0.7750997340425532,0.0,0.16707217693328857
B_s1,diagonal__teacher_prefix,609,12,0.014572136497109677,0.05206521227955818,0.0,0.0,0.01049363711001642,0.012186986863711002,0.0,0.368770569562912
B_s1,diagonal__blind_prefix,660,12,0.06065099824042848,0.23607975244522095,0.0,0.0,0.5320549242424243,0.5546401515151516,0.0,0.22862784564495087
B_s1,off__all,3531,24,0.15641906106130438,0.24459074437618256,0.0,0.0005664117813650726,0.256987220334183,0.0,0.0571500637213254,0.29390057921409607
B_s1,off__alive_outside_goal,444,24,0.2504903787570129,0.3374081254005432,0.0,0.0045045045045044585,0.04047015765765766,0.0,0.06651182432432433,0.6785411834716797
B_s1,off__ordinary_motion,2275,24,0.16829193978690796,0.22358070313930511,0.0,0.0004395604395603936,0.006579670329670329,0.0,0.0771978021978022,0.3182188868522644
B_s1,off__fatal_onset,62,23,0.2554014146021541,0.36437228322029114,0.0,0.016129032258064502,0.06754032258064516,0.0,0.08870967741935484,0.6508981585502625
B_s1,off__already_dead,1194,9,0.12865716405939415,0.2734569311141968,0.0,0.0,0.7439410594639866,0.0,0.01731312814070352,0.22902782261371613
B_s1,off__teacher_prefix,1791,12,0.1634991084400735,0.21227924525737762,0.0,0.0,0.01032070072585148,0.0,0.07754920435510888,0.3232117295265198
B_s1,off__blind_prefix,1740,12,0.14913149505246787,0.27389684319496155,0.0,0.0011494252873562871,0.5108836206896552,0.0,0.03615301724137931,0.26373034715652466
