model_seed,reset_seed,time,action_distance,rectangle,current_class_min_y,endpoint_ball_min_y,all_maps_min_y,corner_distance,upper_rectangle,vertical_contains_anchor,anchor_down,correction_down,proposal_down,emitted_down,proposal_enters_descent,emitted_enters_descent,clipping_raises_y,clipping_blocks_entry,proposal_wrong_x,current_class_can_move_down,current_class_can_enter,endpoint_ball_can_enter,full_map_can_enter,fixed_vertical_matrix_enters,fixed_vertical_matrix_moves_down
0,51000063,1,1.6979552561373765,0,3.0,2.4526937007904053,2.4526937007904053,0.9717537597509814,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000065,1,1.4282810165751085,0,3.0,2.4787817001342773,2.4787817001342773,0.7125931806052558,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000066,1,1.274343244298535,0,3.0,2.6844351291656494,2.6844351291656494,0.6826702815502956,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000067,1,1.3618863706001783,0,3.0,2.519568681716919,2.519568681716919,0.6807126738347269,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000070,1,1.2291448299499352,0,3.0,2.556683301925659,2.556683301925659,0.558157877840303,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000072,1,1.5639073105759744,0,3.0,2.422122001647949,2.422122001647949,0.7930539573625927,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000073,1,1.2470087605994484,0,3.0,2.6795945167541504,2.6795945167541504,0.681914183671314,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000076,2,1.3672407354212421,0,3.0,2.5918846130371094,2.5918846130371094,0.7368426977756515,True,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,True
0,51000076,12,1.2482192080333427,0,3.0,2.8152647018432617,2.8152647018432617,0.8152647018432617,True,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
0,51000076,13,1.7561323532709827,0,3.0,2.849168062210083,2.849168062210083,1.2940489960503225,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True
0,51000077,1,1.101270579047458,0,3.0,2.65950083732605,2.65950083732605,0.5156265274118076,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,False,True
0,51000078,1,1.276621021067421,0,3.0,2.5561325550079346,2.5561325550079346,0.6388068132972166,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
