environment,reset_seed,lower_minus_shortcut
model_s1,51000105,0.0
model_s1,51000106,0.0
model_s1,51000107,0.0
model_s1,51000108,0.0
model_s1,51000109,0.0
model_s1,51000110,0.0
model_s1,51000111,-7.246358263649121
model_s1,51000112,-8.670482759948067
model_s1,51000113,1.2289863489629873
model_s1,51000114,0.0
model_s1,51000115,0.0
model_s1,51000116,0.0
model_s1,51000117,0.0
model_s1,51000118,0.7350918906250001
model_s1,51000119,0.7350918906250001
model_s1,51000120,0.0
model_s1,51000121,0.0
model_s1,51000122,0.0
model_s1,51000123,0.0
model_s1,51000124,0.0
model_s1,51000125,0.0
model_s1,51000126,0.0
model_s1,51000127,-2.9798113143170455
