case,episode_id,d_fatal,covered,d_safe,d_wc_fatal,selected_fatal_like,category,f_safe,f_fatal,f_wc,wc_z,wc_vxy,fatal_z,fatal_vxy
27,500,2.085,1,0.8182,2.7637,1,G1S1_selector_success,-3.26,-12.584,-21.306,0.3814,0.4172,0.3958,0.0176
28,517,3.7561,0,0.804,8.7209,0,G0_generator_miss,-2.727,-17.453,-3.847,0.5341,1.8178,0.3953,0.0206
29,566,2.5557,1,0.9905,3.0109,1,G1S1_selector_success,-3.209,-20.86,-4.352,0.4409,0.1585,0.3797,0.0001
30,618,2.85,1,0.9447,7.7669,0,G1S0_real_miss,-4.932,-25.484,-12.527,0.5311,0.7102,0.3796,0.0007
31,627,2.005,1,0.4443,2.602,1,G1S1_selector_success,-4.501,-23.363,-20.358,0.3445,0.0917,0.3793,0.0031
32,640,2.6113,1,0.7494,3.2026,0,G1S0_near_miss,-4.167,-19.822,-22.658,0.3385,0.1145,0.402,0.0211
33,644,2.5567,1,0.7332,3.4698,0,G1S0_near_miss,-4.429,-25.54,-17.955,0.3676,0.1834,0.3796,0.0002
34,712,2.2049,1,0.6627,4.6243,0,G1S0_real_miss,-4.253,-24.769,-21.332,0.3576,0.3501,0.3818,0.0121
35,741,4.8899,0,0.5391,5.2251,0,G0_generator_miss,-4.004,-18.352,-10.888,0.4149,0.2811,0.3798,0.0041
36,781,2.9135,1,0.6109,3.4536,0,G1S0_near_miss,-3.691,-22.668,-14.563,0.4137,0.4498,0.3797,0.0002
37,785,3.8565,0,0.6836,4.6695,0,G0_generator_miss,-5.288,-18.082,-16.316,0.3794,0.1606,0.3792,0.0043
38,804,2.1378,1,0.493,2.5729,1,G1S1_selector_success,-3.394,-19.686,-15.494,0.3576,0.085,0.3797,0.004
39,809,2.7499,1,0.7488,4.372,0,G1S0_real_miss,-3.421,-23.351,-28.89,0.2944,0.2612,0.3797,0.001
40,857,3.9466,0,1.1281,6.3004,0,G0_generator_miss,-4.708,-14.171,-21.115,0.4109,0.1999,0.4035,0.0272
41,859,1.6709,1,0.5617,2.9416,1,G1S1_selector_success,-4.202,-21.055,-19.954,0.3821,0.0585,0.3796,0.0014
42,879,2.5046,1,0.7192,3.0188,1,G1S1_selector_success,-2.124,-18.75,-10.728,0.3845,0.2372,0.3796,0.0003
43,882,2.0121,1,0.5495,2.3287,1,G1S1_selector_success,-4.075,-21.213,-19.674,0.3946,0.1536,0.3796,0.0004
44,923,2.0968,1,0.8673,4.0996,0,G1S0_real_miss,-4.677,-22.404,-21.401,0.3764,0.2284,0.3797,0.0115
45,936,2.2919,1,0.7445,3.6501,0,G1S0_near_miss,-4.834,-18.889,-15.024,0.3982,0.0506,0.3966,0.01
