source,stratum,epsilon,event,zero_denominators,physical_count,physical_median,physical_p90,physical_p95,physical_p99,physical_p99_9,physical_max,physical_above_1,physical_above_1.05,physical_above_1.25,physical_above_2,physical_above_5,visible_count,visible_median,visible_p90,visible_p95,visible_p99,visible_p99_9,visible_max,visible_above_1,visible_above_1.05,visible_above_1.25,visible_above_2,visible_above_5
natural,pre_hazard,0.003,preserving,0,96,0.9999999999999092,1.0000000000006661,1.0000000000007994,1.0000000000013223,1.0000000000024165,1.0000000000025382,0.0,0.0,0.0,0.0,0.0,96,1.0000069936116527,1.0000155863447213,1.0000437322853648,1.000086600597399,1.0000888941521473,1.0000891489915638,0.0,0.0,0.0,0.0,0.0
natural,pre_hazard,0.003,collision_unchanged,0,96,0.9999999999999092,1.0000000000006661,1.0000000000007994,1.0000000000013223,1.0000000000024165,1.0000000000025382,0.0,0.0,0.0,0.0,0.0,96,1.0000069936116527,1.0000155863447213,1.0000437322853648,1.000086600597399,1.0000888941521473,1.0000891489915638,0.0,0.0,0.0,0.0,0.0
natural,pre_hazard,0.001,all,0,96,1.0000000000002465,1.0000000000022204,1.0000000000025242,1.0000000000058509,1.0000000000065803,1.0000000000066613,0.0,0.0,0.0,0.0,0.0,96,0.9999275207520633,1.0001659393310538,1.0001659393310542,1.0001659393311648,1.0001659393311648,1.0001659393311648,0.0,0.0,0.0,0.0,0.0
natural,pre_hazard,0.001,preserving,0,96,1.0000000000002465,1.0000000000022204,1.0000000000025242,1.0000000000058509,1.0000000000065803,1.0000000000066613,0.0,0.0,0.0,0.0,0.0,96,0.9999275207520633,1.0001659393310538,1.0001659393310542,1.0001659393311648,1.0001659393311648,1.0001659393311648,0.0,0.0,0.0,0.0,0.0
natural,pre_hazard,0.001,collision_unchanged,0,96,1.0000000000002465,1.0000000000022204,1.0000000000025242,1.0000000000058509,1.0000000000065803,1.0000000000066613,0.0,0.0,0.0,0.0,0.0,96,0.9999275207520633,1.0001659393310538,1.0001659393310542,1.0001659393311648,1.0001659393311648,1.0001659393311648,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.1,all,0,96,0.9999999999999876,1.0000000000000233,1.000000000000031,1.0000000000000422,1.0000000000000642,1.0000000000000666,0.0,0.0,0.0,0.0,0.0,96,1.0000000960294932,1.0000038146972647,1.0000038146972647,1.0000044342550478,1.0000045504943311,1.0000045634098071,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.1,preserving,0,96,0.9999999999999876,1.0000000000000233,1.000000000000031,1.0000000000000422,1.0000000000000642,1.0000000000000666,0.0,0.0,0.0,0.0,0.0,96,1.0000000960294932,1.0000038146972647,1.0000038146972647,1.0000044342550478,1.0000045504943311,1.0000045634098071,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.1,collision_unchanged,0,96,0.9999999999999876,1.0000000000000233,1.000000000000031,1.0000000000000422,1.0000000000000642,1.0000000000000666,0.0,0.0,0.0,0.0,0.0,96,1.0000000960294932,1.0000038146972647,1.0000038146972647,1.0000044342550478,1.0000045504943311,1.0000045634098071,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.03,all,0,96,1.0000000000000362,1.000000000000048,1.0000000000000904,1.000000000000144,1.000000000000151,1.0000000000001519,0.0,0.0,0.0,0.0,0.0,96,0.9999990463256827,1.0000080361137815,1.0000122897158048,1.0000205242441267,1.000032399474249,1.0000337189442625,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.03,preserving,0,96,1.0000000000000362,1.000000000000048,1.0000000000000904,1.000000000000144,1.000000000000151,1.0000000000001519,0.0,0.0,0.0,0.0,0.0,96,0.9999990463256827,1.0000080361137815,1.0000122897158048,1.0000205242441267,1.000032399474249,1.0000337189442625,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.03,collision_unchanged,0,96,1.0000000000000362,1.000000000000048,1.0000000000000904,1.000000000000144,1.000000000000151,1.0000000000001519,0.0,0.0,0.0,0.0,0.0,96,0.9999990463256827,1.0000080361137815,1.0000122897158048,1.0000205242441267,1.000032399474249,1.0000337189442625,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.01,all,1,95,0.9999999999999039,1.000000000000333,1.0000000000003342,1.000000000000617,1.0000000000014617,1.0000000000015556,0.0,0.0,0.0,0.0,0.0,95,0.9999990463256827,1.0000228881835929,1.0000228881835929,1.0000632889793977,1.000231785654157,1.000250507506908,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.01,preserving,1,95,0.9999999999999039,1.000000000000333,1.0000000000003342,1.000000000000617,1.0000000000014617,1.0000000000015556,0.0,0.0,0.0,0.0,0.0,95,0.9999990463256827,1.0000228881835929,1.0000228881835929,1.0000632889793977,1.000231785654157,1.000250507506908,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.01,collision_unchanged,1,95,0.9999999999999039,1.000000000000333,1.0000000000003342,1.000000000000617,1.0000000000014617,1.0000000000015556,0.0,0.0,0.0,0.0,0.0,95,0.9999990463256827,1.0000228881835929,1.0000228881835929,1.0000632889793977,1.000231785654157,1.000250507506908,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.003,all,4,92,1.0000000000004974,1.000000000001027,1.0000000000014713,1.000000000002363,1.0000000000026064,1.0000000000026334,0.0,0.0,0.0,0.0,0.0,92,1.0000069936116527,1.0000864664713902,1.0000864664713902,1.0001016384783128,1.0001212023228792,1.0001233760833865,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.003,preserving,4,92,1.0000000000004974,1.000000000001027,1.0000000000014713,1.000000000002363,1.0000000000026064,1.0000000000026334,0.0,0.0,0.0,0.0,0.0,92,1.0000069936116527,1.0000864664713902,1.0000864664713902,1.0001016384783128,1.0001212023228792,1.0001233760833865,0.0,0.0,0.0,0.0,0.0
natural,hazard_interior,0.003,collision_unchanged,4,92,1.0000000000004974,1.000000000001027,1.0000000000014713,1.000000000002363,1.0000000000026064,1.0000000000026334,0.0,0.0,0.0,0.0,0.0,92,1.0000069936116527,1.0000864664713902,1.0000864664713902,1.0001016384783128,1.0001212023228792,1.0001233760833865,0.0,0.0,0.0,0.0,0.0
