parameters,emitter,condition,epsilon,zero_denominators,projection_frequency,atom_frequency,count,median,p90,p95,p99,p99_9,max,above_1,above_1.05,above_1.25,above_2,above_5,atom_switch_fraction
frobenius_s1,spectral,off_diagonal_fixed_xprime,0.01,0,0.078125,0.078125,256,0.21932224945899212,0.4591740514158265,0.48468673257267436,0.5598357765282531,0.6440338981125341,0.6562095800841921,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,spectral,off_diagonal_fixed_xprime,0.003,0,0.078125,0.09765625,256,0.21933604396311035,0.4591710569525924,0.484573822584068,0.5597361357373304,0.643908834654432,0.6560101489599177,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,spectral,off_diagonal_fixed_xprime,0.001,0,0.078125,0.0859375,256,0.21940660305047685,0.4589866978555436,0.4849535430042404,0.5599397008460644,0.6439182105461724,0.6560321187898116,0.0,0.0,0.0,0.0,0.0,
frobenius_s1,diagonal,both_action_slots_vary,0.1,0,,,256,0.9955585096233941,1.0149548497697096,1.0194944056027078,1.0634863626345983,10.26985049623633,11.388259905137375,0.265625,0.01171875,0.0078125,0.0078125,0.0078125,0.0
frobenius_s1,diagonal,both_action_slots_vary,0.03,0,,,256,0.9948314840407976,1.0141232109490947,1.0176505463732972,1.0480582877065867,1.0822280104316313,1.0847578236648665,0.26171875,0.0078125,0.0,0.0,0.0,0.0
frobenius_s1,diagonal,both_action_slots_vary,0.01,0,,,256,0.9957584040708155,1.0143212274487814,1.0199501424414898,1.049933235051189,1.0796607106002623,1.0812483417668735,0.26953125,0.0078125,0.0,0.0,0.0,0.0
frobenius_s1,diagonal,both_action_slots_vary,0.003,0,,,256,0.995256156017805,1.0141393357474238,1.018356890454901,1.0471616738984941,1.0706891241652587,1.0767623600450429,0.265625,0.0078125,0.0,0.0,0.0,0.0
frobenius_s1,diagonal,both_action_slots_vary,0.001,0,,,256,0.9958700633229108,1.0145507521058676,1.0187046389525716,1.0498182592683651,1.0740139046415678,1.0763648651543591,0.2734375,0.0078125,0.0,0.0,0.0,0.0
spectral_s1,frobenius,diagonal_center_fixed_xprime,0.1,0,0.001953125,0.09375,256,0.21220671576228256,0.45918919604296515,0.4846319606171661,0.5597757104942632,0.6440173590865845,0.6561837132171591,0.0,0.0,0.0,0.0,0.0,
spectral_s1,frobenius,diagonal_center_fixed_xprime,0.03,0,0.001953125,0.08203125,256,0.21302620970252129,0.45918954173273496,0.4846304905367181,0.5597558755793107,0.6440349856977223,0.6562033065480237,0.0,0.0,0.0,0.0,0.0,
spectral_s1,frobenius,diagonal_center_fixed_xprime,0.01,0,0.001953125,0.078125,256,0.2130074674458227,0.4591595949010169,0.48467942421436594,0.5597846404401747,0.6440505689660275,0.6562031246864213,0.0,0.0,0.0,0.0,0.0,
spectral_s1,frobenius,diagonal_center_fixed_xprime,0.003,0,0.00390625,0.09765625,256,0.21512829869645878,0.4590904995997107,0.48454923940191746,0.559868693106178,0.6438338946630744,0.6560107866728574,0.0,0.0,0.0,0.0,0.0,
spectral_s1,frobenius,diagonal_center_fixed_xprime,0.001,0,0.001953125,0.0859375,256,0.21518201867654177,0.4588148517860957,0.4842039949235406,0.559896602919018,0.6436656033550716,0.6559761884445796,0.0,0.0,0.0,0.0,0.0,
spectral_s1,frobenius,off_diagonal_fixed_xprime,0.1,0,0.078125,0.09375,256,0.21933628982131625,0.45919319518041407,0.48463368327313383,0.5597750724622597,0.6440105064586006,0.6561744618224808,0.0,0.0,0.0,0.0,0.0,
spectral_s1,frobenius,off_diagonal_fixed_xprime,0.03,0,0.078125,0.08203125,256,0.21933807514463285,0.4591918621310653,0.4846324120188905,0.5597686103015864,0.6440123602048153,0.6561728090774523,0.0,0.0,0.0,0.0,0.0,
spectral_s1,frobenius,off_diagonal_fixed_xprime,0.01,0,0.078125,0.078125,256,0.2193345746752038,0.45920382424816675,0.48467375518726397,0.5597890077356931,0.644050916721772,0.6562038901613566,0.0,0.0,0.0,0.0,0.0,
spectral_s1,frobenius,off_diagonal_fixed_xprime,0.003,0,0.078125,0.09765625,256,0.21930016565731011,0.4591710569525924,0.484573822584068,0.559714082430227,0.644132573547827,0.6563188587656446,0.0,0.0,0.0,0.0,0.0,
spectral_s1,frobenius,off_diagonal_fixed_xprime,0.001,0,0.078125,0.0859375,256,0.21935537393754964,0.45921469492210115,0.48427595325251355,0.5599397008460644,0.6438758298267924,0.6559752319181605,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,diagonal_center_fixed_xprime,0.1,0,0.001953125,0.09375,256,0.21220671576228256,0.45918919604296515,0.4846319606171661,0.5597757104942632,0.6440173590865845,0.6561837132171591,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,diagonal_center_fixed_xprime,0.03,0,0.001953125,0.08203125,256,0.21302620970252129,0.45918954173273496,0.4846304905367181,0.5597558755793107,0.6440349856977223,0.6562033065480237,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,diagonal_center_fixed_xprime,0.01,0,0.001953125,0.078125,256,0.2130074674458227,0.4591595949010169,0.48467942421436594,0.5597846404401747,0.6440505689660275,0.6562031246864213,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,diagonal_center_fixed_xprime,0.003,0,0.00390625,0.09765625,256,0.21512829869645878,0.4590904995997107,0.48454923940191746,0.559868693106178,0.6438338946630744,0.6560107866728574,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,diagonal_center_fixed_xprime,0.001,0,0.001953125,0.0859375,256,0.21518201867654177,0.4588148517860957,0.4842039949235406,0.559896602919018,0.6436656033550716,0.6559761884445796,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,off_diagonal_fixed_xprime,0.1,0,0.078125,0.09375,256,0.21933628982131625,0.45919319518041407,0.48463368327313383,0.5597750724622597,0.6440105064586006,0.6561744618224808,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,off_diagonal_fixed_xprime,0.03,0,0.078125,0.08203125,256,0.21933807514463285,0.4591918621310653,0.4846324120188905,0.5597686103015864,0.6440123602048153,0.6561728090774523,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,off_diagonal_fixed_xprime,0.01,0,0.078125,0.078125,256,0.2193345746752038,0.45920382424816675,0.48467375518726397,0.5597890077356931,0.644050916721772,0.6562038901613566,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,off_diagonal_fixed_xprime,0.003,0,0.078125,0.09765625,256,0.21930016565731011,0.4591710569525924,0.484573822584068,0.559714082430227,0.644132573547827,0.6563188587656446,0.0,0.0,0.0,0.0,0.0,
spectral_s1,spectral,off_diagonal_fixed_xprime,0.001,0,0.078125,0.0859375,256,0.21935537393754964,0.45921469492210115,0.48427595325251355,0.5599397008460644,0.6438758298267924,0.6559752319181605,0.0,0.0,0.0,0.0,0.0,
spectral_s1,diagonal,both_action_slots_vary,0.1,0,,,256,0.9955585096233941,1.0149548497697096,1.0194944056027078,1.0634863626345983,10.26985049623633,11.388259905137375,0.265625,0.01171875,0.0078125,0.0078125,0.0078125,0.0
spectral_s1,diagonal,both_action_slots_vary,0.03,0,,,256,0.9948314840407976,1.0141232109490947,1.0176505463732972,1.0480582877065867,1.0822280104316313,1.0847578236648665,0.26171875,0.0078125,0.0,0.0,0.0,0.0
