root,x,y,action,ax,ay,q_s0,q_s2,native_reach,native_strict_success,native_discounted_return,native_lower,native_shortcut,native_absorbed,ett_reach,ett_strict_success,ett_discounted_return,ett_lower,ett_shortcut,ett_absorbed,replay_transitions,replay_first_queries
13,1.500,3.847,actor_s0,0.999,-0.931,-6.418,-6.641,0.312,0.312,3.622,0.125,0.875,0.688,0.188,0.172,1.685,0.109,0.578,0.828,60,0
13,1.500,3.847,actor_s2,1.000,-0.687,-6.205,-6.383,0.312,0.312,3.754,0.094,0.906,0.688,0.281,0.281,3.496,0.047,0.797,0.719,148,0
13,1.500,3.847,argmax_s0,0.833,-0.467,-6.093,-6.049,0.375,0.375,4.350,0.062,0.938,0.625,0.281,0.281,3.376,0.047,0.891,0.703,402,0
13,1.500,3.847,argmax_s2,0.500,-0.400,-6.150,-5.802,0.359,0.359,4.061,0.125,0.875,0.641,0.250,0.250,2.768,0.109,0.781,0.734,105,0
14,1.465,3.052,down,0.000,-1.000,-6.477,-5.948,0.938,0.922,9.806,1.000,0.000,0.047,0.812,0.797,6.310,1.000,0.000,0.156,483,258
14,1.465,3.052,right,1.000,0.000,-6.368,-6.192,0.312,0.312,3.569,0.109,0.891,0.688,0.188,0.188,1.966,0.141,0.703,0.812,525,258
14,1.465,3.052,actor_s0,0.988,-0.997,-6.542,-6.609,0.922,0.906,9.839,1.000,0.000,0.047,0.344,0.344,2.884,0.391,0.438,0.641,22,0
14,1.465,3.052,actor_s2,1.000,-0.787,-6.433,-6.452,0.922,0.906,9.969,1.000,0.000,0.047,0.250,0.234,2.012,0.391,0.453,0.703,51,0
14,1.465,3.052,argmax_s0,0.700,-0.133,-6.261,-5.890,0.531,0.531,4.967,1.000,0.000,0.469,0.297,0.281,2.229,0.453,0.391,0.688,96,0
14,1.465,3.052,argmax_s2,0.433,-0.333,-6.283,-5.727,0.828,0.828,8.786,1.000,0.000,0.141,0.672,0.609,5.533,0.984,0.016,0.266,64,0
15,1.497,3.529,down,0.000,-1.000,-6.264,-6.008,0.938,0.938,9.945,1.000,0.000,0.062,0.828,0.812,7.763,1.000,0.000,0.125,1492,1401
15,1.497,3.529,right,1.000,0.000,-6.102,-6.182,0.406,0.406,4.924,0.047,0.953,0.594,0.297,0.297,3.635,0.031,0.844,0.703,3393,1401
15,1.497,3.529,actor_s0,0.998,-0.982,-6.299,-6.620,0.406,0.406,4.762,0.109,0.891,0.594,0.125,0.125,0.991,0.094,0.672,0.859,34,0
15,1.497,3.529,actor_s2,1.000,-0.720,-6.015,-6.332,0.406,0.391,4.579,0.109,0.891,0.609,0.328,0.328,3.511,0.094,0.781,0.656,117,0
15,1.497,3.529,argmax_s0,0.333,-0.400,-5.906,-5.677,0.656,0.656,6.403,0.641,0.359,0.328,0.359,0.344,3.178,0.375,0.406,0.625,77,0
15,1.497,3.529,argmax_s2,0.500,-0.300,-5.924,-5.576,0.391,0.375,3.863,0.172,0.828,0.625,0.219,0.219,2.286,0.156,0.719,0.766,128,0
