episode_id,u_side,success,ep_length,dead,collapse_step,fell,fall_step,resim_reliable,first_contact_step,first_zone_entry,zone_exit,handoff_step,max_hforce,pre_contact_speed,n_nudges,n_nudges_recovered,max_x,max_x_pre_handoff,final_goal_dist,fail_step,failure_after_handoff,fall_x,fail_x,fail_y,category
128,0,0,701,False,-1,True,641,True,22,51,-1,-1,144.79360961914062,0.8303354978561401,15,1,3.419344902038574,3.419344902038574,7.710328102111816,641,False,2.396423578262329,2.396423578262329,0.24145011603832245,2_fall_litter
129,0,0,168,True,166,False,-1,True,27,47,-1,-1,84.61886596679688,0.8537892699241638,2,0,3.055184841156006,3.055184841156006,8.86720085144043,166,False,nan,2.7315075397491455,0.10121024399995804,1_collapse_litter
130,0,1,701,False,-1,False,-1,True,26,34,85,107,51.29206085205078,0.8279029130935669,0,0,8.715519905090332,6.0142998695373535,0.9490822553634644,699,True,nan,0.07710224390029907,8.809553146362305,success
133,0,0,701,False,-1,True,282,True,18,68,146,155,65.50580596923828,1.0275206565856934,0,0,8.131356239318848,6.054624557495117,3.9470536708831787,282,True,3.370631694793701,3.370631694793701,8.496101379394531,5_fail_after_handoff
153,0,0,701,False,-1,False,-1,True,19,33,201,206,65.52947998046875,0.9955527782440186,2,2,8.616806030273438,6.021226406097412,3.533384323120117,699,True,nan,4.567232131958008,8.119732856750488,4_cleared_timeout
188,0,1,701,False,-1,True,538,True,22,54,197,207,80.61463928222656,0.8668455481529236,2,2,7.853466987609863,6.03360652923584,2.1631720066070557,699,True,-1.4657891988754272,-1.4657891988754272,8.831960678100586,success
191,0,1,701,False,-1,True,536,True,18,85,161,299,79.84584045410156,0.9600605368614197,4,3,8.989126205444336,6.01066255569458,1.249696135520935,699,True,0.9015727043151855,1.7370790243148804,8.720746994018555,success
211,1,0,137,True,135,False,-1,True,22,46,103,126,95.18888854980469,0.8581620454788208,0,0,6.071953296661377,6.025999546051025,10.754876136779785,135,True,nan,5.768537998199463,-0.19321377575397491,1_collapse_litter
217,0,1,701,False,-1,False,-1,True,20,32,354,402,44.19342803955078,1.0837372541427612,6,3,8.903430938720703,6.05515193939209,0.9383423328399658,699,True,nan,1.3424855470657349,8.581093788146973,success
238,1,0,701,False,-1,True,163,True,24,48,144,151,92.5578384399414,0.8509925007820129,0,0,6.40959358215332,6.020260334014893,9.676586151123047,163,True,6.391409873962402,6.391409873962402,0.20499356091022491,5_fail_after_handoff
255,0,0,701,False,-1,True,66,True,23,45,-1,-1,70.2500228881836,0.9841041564941406,15,0,3.384536027908325,3.384536027908325,7.683429718017578,66,False,3.066490888595581,3.066490888595581,0.6608785390853882,2_fall_litter
281,1,1,701,False,-1,True,532,True,21,53,123,146,73.62757110595703,0.8709748387336731,0,0,8.135050773620605,6.027205467224121,1.617131233215332,699,True,2.3177459239959717,2.4615256786346436,8.339001655578613,success
286,1,1,701,False,-1,True,668,True,27,44,110,148,88.01934814453125,0.7978361248970032,1,1,8.991963386535645,6.015383720397949,1.765271544456482,699,True,-0.5729824900627136,-1.2570925951004028,8.765982627868652,success
289,0,1,701,False,-1,False,-1,True,19,78,540,547,68.42382049560547,1.0914256572723389,10,4,8.348409652709961,6.0216450691223145,0.48781585693359375,699,True,nan,1.1990907192230225,8.718578338623047,success
301,0,1,701,False,-1,False,-1,True,27,61,185,272,59.685543060302734,0.8623776435852051,4,3,8.306625366210938,6.062532424926758,0.137171670794487,699,True,nan,0.29197031259536743,8.850669860839844,success
